VendorNumber,VendorName,Brand,Description,Classification,RetailPrice,UnitPurchasePrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,AvgSalesPrice,TotalExciseTax,VendorFreightCost,AllocatedFreightCost,GrossProfit,ProfitMargin%,NetProfit,NetProfitMargin%,StockTurnover,SalesPurchaseRatio,PriceMarkup%,AvgUnitsSoldPerDay,VolumeCategory,PerformanceTier,IsUnderperforming,Cluster,ClusterLabel,PredictedUnderperforming,UnderperformingRiskScore
4425,MARTIGNETTI COMPANIES,3505,Tito's Handmade Vodka,1,18.99,13.76,750.0,69299,953554.2399999768,70603.0,1355204.969999795,19.329186745225876,55584.91000000613,144929.24,4960.14,401650.72999981826,29.637637028432607,396690.58999981824,29.271630401405496,1.0188170103464695,1.421214350638122,38.00872093023255,192.9,Standard(201-750ml),High,0,1,High Volume Giants,0,0.0
1128,BROWN-FORMAN CORP,1232,Jack Daniels No 7 Black,1,22.99,15.93,750.0,52932,843206.7599999951,53206.0,1255188.9399997946,23.745086071982126,41888.060000005324,68601.68000000001,4275.52,411982.17999979947,32.822323944303314,407706.65999979945,32.48169634125889,1.0051764528073754,1.4885897499206504,44.31889516635278,145.37,Standard(201-750ml),Mid,0,2,Mid Tier Performers,0,0.0
12546,JIM BEAM BRANDS COMPANY,1385,Makers Mark,1,26.99,20.45,750.0,41048,839431.6000000037,37615.0,1034144.8499998584,27.87689848963264,29615.600000003382,123880.96999999999,4296.53,194713.2499998547,18.828431046180945,190416.71999985471,18.412964102647784,0.9163662054180471,1.23195844664396,31.980440097799505,102.77,Standard(201-750ml),High,0,2,Mid Tier Performers,0,0.0033
8004,SAZERAC CO INC,5103,Fireball Cinnamon Whisky,1,23.99,17.14,1750.0,44198,757553.7200000103,43533.0,1093841.6699998477,25.271172069820278,79984.57999998568,50293.62000000002,3841.99,336287.9499998373,30.74375014437731,332445.95999983733,30.39251192541272,0.984954070319924,1.4439130072515949,39.964994165694264,118.94,Magnum(1001-1750ml),Mid,0,2,Mid Tier Performers,0,0.0003
17035,PERNOD RICARD USA,8000,The Glenlivet 12 Yr Single,1,67.99,53.96,1750.0,13759,742435.6400000077,13210.0,910688.899999942,68.9355264759527,24275.30999999968,123780.21999999997,3809.42,168253.25999993435,18.475382756937638,164443.83999993434,18.057081842102697,0.960098844392761,1.2266233609150723,26.00074128984432,36.09,Magnum(1001-1750ml),High,0,2,Mid Tier Performers,0,0.0112
3960,DIAGEO NORTH AMERICA INC,2432,Crown Royal,1,22.99,17.59,750.0,41893,736897.8699999982,41506.0,967005.9399998506,23.572207427708367,32678.120000003866,257032.07000000007,3716.78,230108.06999985233,23.79593138795899,226391.28999985234,23.411571804810976,0.990762179839114,1.312265891065546,30.699260943718016,113.4,Standard(201-750ml),High,0,2,Mid Tier Performers,0,0.0003
17035,PERNOD RICARD USA,5365,Kahlua,1,18.99,14.84,750.0,48583,720971.7199999975,48615.0,932815.8499998393,19.216402757960186,38272.73000000486,123780.21999999997,3699.29,211844.1299998418,22.71017693362289,208144.8399998418,22.31360455548409,1.0006586666117778,1.293831400210597,27.964959568733143,132.83,Standard(201-750ml),High,0,2,Mid Tier Performers,0,0.0
3960,DIAGEO NORTH AMERICA INC,3876,Smirnoff 80 Proof,1,19.99,13.95,1750.0,50962,710919.9000000035,64266.0,1210481.3399998345,19.100933094074062,118078.449999987,257032.07000000007,3585.75,499561.439999831,41.26965228558577,495975.689999831,40.973427149227994,1.2610572583493584,1.702697223695424,43.29749103942652,175.59,Magnum(1001-1750ml),High,0,2,Mid Tier Performers,0,0.0
1392,CONSTELLATION BRANDS INC,3913,Svedka Vodka,1,17.99,14.28,1750.0,48481,692308.6800000105,47805.0,875307.9499998783,18.617464450088736,87832.82999998739,79528.99,3535.31,182999.26999986777,20.906844271195435,179463.95999986777,20.502950989979325,0.9860563932262123,1.2643319017751806,25.98039215686274,130.61,Magnum(1001-1750ml),Mid,0,2,Mid Tier Performers,0,0.0031
8004,SAZERAC CO INC,3522,Platinum 7X Distilled Vodka,1,12.99,9.62,1750.0,71899,691668.3799999709,70351.0,914148.489999854,13.108158221416975,129253.369999989,50293.62000000002,3507.85,222480.1099998831,24.337414811013762,218972.2599998831,23.953686123784777,0.9784697979109584,1.3216571935815433,35.031185031185046,192.22,Magnum(1001-1750ml),Mid,0,2,Mid Tier Performers,0,0.0003
1392,CONSTELLATION BRANDS INC,2114,Black Velvet Canadian Whisky,1,12.99,9.41,1750.0,73227,689066.0700000038,72043.0,948838.5699998497,13.316186475050735,132364.7099999849,79528.99,3518.75,259772.49999984587,27.377944806763814,256253.74999984587,27.007096686624628,0.9838311005503435,1.3769921511297813,38.04463336875664,196.84,Magnum(1001-1750ml),Mid,0,2,Mid Tier Performers,0,0.0003
4425,MARTIGNETTI COMPANIES,11219,Josh Cellars Cab Svgn Sonoma,2,12.99,8.44,750.0,80030,675453.2000000181,78392.0,1095045.0399999167,14.332464905333378,8799.819999999914,144929.24,3513.53,419591.83999989857,38.31731341387844,416078.30999989854,37.996456291873635,0.9795326752467824,1.621200462148802,53.90995260663508,214.19,Standard(201-750ml),High,0,2,Mid Tier Performers,0,0.0036
9552,M S WALKER INC,3893,Zhenka 80 Proof,1,9.99,7.93,1750.0,81447,645874.709999989,81723.0,816412.7699998668,9.989999999999574,150149.62999999925,55551.819999999985,3280.92,170538.05999987782,20.88870559924064,167257.1399998778,20.48683535411935,1.0033887067663634,1.2640420152073777,25.97730138713746,223.29,Magnum(1001-1750ml),Mid,0,2,Mid Tier Performers,0,0.0026
1128,BROWN-FORMAN CORP,811,Jack Daniels No 7 Black,1,29.99,19.84,1000.0,32554,645871.359999999,32064.0,937915.3599999225,29.68753810081729,33667.1999999981,68601.68000000001,3274.92,292043.9999999234,31.13756448129259,288769.0799999234,30.78839438133813,0.9849480862566812,1.4521705374889573,51.15927419354838,87.61,Large(751-1000ml),Mid,0,2,Mid Tier Performers,0,0.0063
3960,DIAGEO NORTH AMERICA INC,2443,Seagrams VO,1,16.99,13.48,1750.0,47654,642375.9200000195,47446.0,902489.5399998736,19.34078589634294,87173.56999998497,257032.07000000007,3240.03,260113.61999985413,28.82178778491888,256873.58999985413,28.4627775297972,0.9956352037604398,1.404924300400062,26.03857566765577,129.63,Magnum(1001-1750ml),High,0,2,Mid Tier Performers,0,0.0002
